title,channel,view_count,view_text,duration,published,url,scraped_at
Python Full Course for Absolute Beginners | Python Tutorial | Python Training 2025 | Simplilearn,Simplilearn,6900,"6,900 views",9:06:30,Streamed 7 months ago,https://www.youtube.com/watch?v=BXMGINIeReM,2026-05-23T19:49:03
Introduction to Python Programming | Python for Beginners #lec1,Jenny's Lectures CS IT,1628234,"1,628,234 views",11:14,3 years ago,https://www.youtube.com/watch?v=DInMru2Eq6E,2026-05-23T19:49:03
Classes and Objects with Python - Part 1 (Python Tutorial #9),CS Dojo,1659270,"1,659,270 views",11:36,8 years ago,https://www.youtube.com/watch?v=wfcWRAxRVBA,2026-05-23T19:49:03
FREE Python Course for Beginners (13 HOURS) - Code With Josh,Code with Josh,205778,"205,778 views",10:12:25,2 years ago,https://www.youtube.com/watch?v=rM-jDeSgOQw,2026-05-23T19:49:03
Chapter 02 - Data Types & Operators in Python | Python Full Course 2026 | Saumya Singh,Saumya Singh,57314,"57,314 views",1:03:39,6 months ago,https://www.youtube.com/watch?v=5lDKZio6njw,2026-05-23T19:49:03
FREE Python Programming ( Full Course ) Python Tutorial For Beginners (BUSINESS IDEA),Azad Chaiwala,749636,"749,636 views",9:08:57,3 years ago,https://www.youtube.com/watch?v=R2G7xQymBCs,2026-05-23T19:49:03
Pandas Full Course (2025) | Python Pandas Tutorial For Beginners | Python Pandas Course |Intellipaat,Intellipaat,267005,"267,005 views",1:06:34,11 months ago,https://www.youtube.com/watch?v=vtgDGrUiUKk,2026-05-23T19:49:03
The Ultimate Python Course For Beginners (Learn How To Code in 2026),Erik Frits,189560,"189,560 views",12:00:00,7 months ago,https://www.youtube.com/watch?v=Lc5LKDqhyzs,2026-05-23T19:49:03
Python Crash Course in Hindi | 5 Python Projects | Complete Python Tutorial,CodeWithHarry,1401254,"1,401,254 views",3:08:46,3 years ago,https://www.youtube.com/watch?v=fqF9M92jzUo,2026-05-23T19:49:03
Algorithmic Trading Using Python - Full Course,freeCodeCamp.org,3115958,"3,115,958 views",4:33:03,5 years ago,https://www.youtube.com/watch?v=xfzGZB4HhEE,2026-05-23T19:49:03
